,Lab,website
0,Algorithms to Architecture Lab,https://www.youtube.com/channel/UCRaDBDhFOxt3qABwgHipBxw
1,Wirocomm Lab,https://www.iiitd.edu.in/~wirocomm/
2,Advanced Multi-core Systems Lab,#
3,Mobility and Optimization Lab,https://chartr.in/
4,Nanoscale Devices and Circuit Lab,#
5,Space Systems Lab,https://ssl.iiitd.edu.in
6,Signal Analysis for Large Scale Applications (SALSA) Lab,https://salsa.iiitd.edu.in
7,Accessibility and Inclusive Design Lab,https://aidlab.iiitd.edu.in
8,Quantum Computing Lab,http://braqiiit.iiitd.edu.in
9,Academic Writing Lab,https://awl.iiitd.edu.in
10,WeaveLab,https://weave.iiitd.edu.in
11,Cryptology Research Group (CRG) Lab,https://crypto.iiitd.edu.in
12,Human-Machine Interaction Lab,https://hmi.iiitd.edu.in
13,High Performance Computing Lab,https://hipec.iiitd.edu.in
14,Laboratory for Computational Social Systems,https://lcs2.iiitd.edu.in
15,Melange Lab,https://melangeresearch.com/
16,MIDAS Lab,https://midas.iiitd.edu.in
17,Knowledgeable Computing and Reasoning Lab,https://kracr.iiitd.edu.in
18,Networks Research Lab,https://nrl.iiitd.edu.in
19,NeatAI Servo Lab(NiceLab),https://sites.google.com/site/koteswarraojerripothula/neatai-servolab
20,Cross-Caps Lab,https://sites.google.com/view/vinayakabrol/cross-caps-laboratory?authuser=0
21,RaghavaLab: Computational Biology for Health,https://webs.iiitd.edu.in/raghava/
22,Complex Systems Lab,https://cosylab.iiitd.edu.in
23,SenguptaLab: Algorithms for Transcriptomics of Tomorrow,https://www.thesenguptalab.com/
24,Reggenlab: Regulatory Genomics Lab,http://reggen.iiitd.edu.in:1207/
25,RayLab: Computational Structural Biology,https://raylab.iiitd.edu.in
26,TavLab: AI/ML for Medicine and Public Health,https://tavlab.iiitd.edu.in
27,The Chemosensory Lab (AhujaLab),https://ahuja-lab.in/
28,Systems and Mathematical Biology lab,https://sites.google.com/a/iiitd.ac.in/sriram/
29,The Translational Biology Lab (DhanjalLab),https://dhanjal-lab.iiitd.edu.in/
30,Signal processing and Bio-medical Imaging Lab,https://sbilab.iiitd.edu.in
